trigE,trigM,lep_n,jet_n,met_et,met_phi,lep_pt_0,lep_pt_1,lep_eta_0,lep_eta_1,lep_E_0,lep_E_1,lep_phi_0,lep_phi_1,lep_charge_0,lep_charge_1,lep_type_0,lep_type_1,lep_ptcone30_0,lep_ptcone30_1,lep_etcone20_0,lep_etcone20_1,lep_isTightID_0,lep_isTightID_1,jet_pt,jet_eta,jet_phi,jet_E,jet_MV2c10,sample,mLL,pTll,dphi_ll,dphi_ll_met
True,False,2,1,41217.85,0.614353,25357.15625,19894.890625,-0.8990539312362671,-2.4860243797302246,36314.38671875,120330.9140625,-1.0324420928955078,-2.1552488803863525,-1,1,11,13,0.0,0.0,-438.046630859375,-323.08648681640625,1,1,26331.912109375,-1.5067439079284668,2.6262519359588623,62540.6875,-0.8178442716598511,Higgs,46.17904293238638,38.41647549316952,1.1228067874908447,2.132430050815768
True,False,2,0,45349.758,2.7002194,26938.419921875,20305.44921875,2.150310754776001,1.5502490997314453,117235.6640625,50000.64453125,-1.1447114944458008,-0.37303972244262695,-1,1,11,13,0.0,0.0,-32.850555419921875,-346.36761474609375,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,22.645503213173917,43.841818298939216,0.7716717720031738,2.7671227531455536
False,True,2,0,62083.664,-2.910677,76428.6328125,23593.1015625,0.1265445202589035,0.200788676738739,77041.46875,24070.29296875,-0.19000481069087982,0.6175543665885925,1,-1,13,11,0.0,0.0,-604.9434204101562,-705.9853515625,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,33.516587779016106,94.29172701669721,0.8075591772794724,2.902477115859499
True,False,2,1,40993.082,-1.584586,51791.47265625,22543.76171875,0.8539382219314575,1.3483115434646606,71850.671875,46334.2734375,1.5367233753204346,1.733325481414795,-1,1,11,13,0.0,0.0,-714.087646484375,-518.3174438476562,1,1,63850.30078125,1.647261142730713,-1.3763800859451294,172104.359375,-0.8730060458183289,Higgs,18.33589243914051,74.03203832692573,0.19660210609436035,3.1023576899965155
True,False,2,0,44337.945,-3.023314,27462.94921875,19775.44921875,-1.30544114112854,-0.01647014729678631,54381.70703125,19778.4140625,0.07043950259685516,0.26445233821868896,1,-1,11,13,0.0,0.0,-406.2911376953125,-218.11956787109375,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,32.47698027159948,47.022205481339284,0.1940128356218338,3.1082604362194868
True,False,2,0,48678.89,-0.5551814,37917.84375,25068.740234375,-2.4755873680114746,-2.232785701751709,226991.4375,118237.1953125,2.7367687225341797,2.2682363986968994,1,-1,13,11,0.0,0.0,-68.85205078125,-340.35986328125,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,16.161426189322864,61.33866233134749,0.4685323238372803,3.1063291118807417
False,True,2,1,74773.41,0.7948549,42418.6015625,33098.75390625,-0.1325233280658722,0.5166835188865662,42791.765625,37615.97265625,-1.8917820453643799,-1.7878402471542358,1,-1,13,11,0.0,0.0,-489.60015869140625,-595.467041015625,1,1,24810.189453125,-2.057518482208252,1.6010299921035767,98754.8671875,-0.9019425511360168,Higgs,25.059473054900472,75.41694720703293,0.10394179821014404,2.641085619561608
True,False,2,1,48668.254,0.6255006,44318.546875,24994.3984375,-2.1441874504089355,-2.2396399974823,191727.9375,118679.0390625,2.3033030033111572,-2.915571451187134,-1,1,11,13,0.0,0.0,-875.984375,-770.9548950195312,1,1,26043.1171875,-1.655277132987976,-1.2383133172988892,70861.3125,-0.7921065092086792,Higgs,33.9235935492636,60.52746862497925,1.0643108526812952,2.047249659093854
True,False,2,0,43381.688,-2.2958407,34876.35546875,19371.625,2.3924150466918945,1.3218739032745361,192365.609375,38908.80859375,0.8322784900665283,0.08784636110067368,1,-1,11,13,0.0,0.0,-175.9222412109375,-703.0302734375,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,34.764317671601766,50.846907792995175,0.7444321289658546,2.8670287526932823
True,True,2,0,40130.74,0.64429563,37771.8671875,33194.03515625,-1.0953766107559204,-0.9997102618217468,62790.57421875,51209.7734375,-1.9078006744384766,3.028921127319336,-1,1,13,11,0.0,0.0,-86.65472412109375,-716.515625,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,44.286048909354484,55.5552766948591,1.3464635054217737,3.1092584520433
